20.09897655	-99.82732953
20.30114874	-103.2725002
27.02740236	-108.9384148
20.18777847	-100.1459144
21.62199165	-99.01930415
25.44951796	-100.8520537
18.90906215	-98.43622738
18.67875576	-88.39306563
27.03230335	-107.7331033
20.7387527	-99.94102584
26.53150509	-100.5062636
20.69242938	-99.81839571
21.84486794	-102.7175384
26.83724186	-100.6677399
17.30586978	-96.44469143
30.37655471	-107.9533503
16.70500644	-93.00845032
19.8370025	-98.03125165
19.06069293	-98.3068408
19.4502109	-96.96032014
19.32048982	-103.757273
16.24474594	-92.13224516
20.71817004	-100.7576751
21.23984197	-104.9001886
24.41416101	-106.6905695
19.07491575	-97.04539859
27.75145639	-107.6352645
26.98618209	-102.0629468
20.01825321	-97.52459204
19.96975433	-101.1435985
21.15559201	-100.9313435
19.80131464	-100.1316718
22.9923242	-105.8604012
26.41541326	-108.6164943
22.7600215	-102.5146954
28.30619434	-100.3781817
19.31641311	-97.92706061
20.20430499	-98.57703942
20.1763371	-98.05717719
18.13051528	-96.84067303
20.37694295	-99.64722968
18.78670775	-91.48823318
21.23590116	-86.73530052
18.84382103	-99.67843775
20.93329147	-89.01440518
21.10172672	-104.4363662
20.87934887	-101.9827512
21.21655195	-99.47421517
22.64793026	-102.9934685
19.99462095	-102.7165864
21.35760331	-101.9343623
24.85733422	-99.56369136
30.62436834	-110.9660334
18.94509913	-99.49664937
20.38614075	-89.39006539
25.83272975	-103.8488371
20.52624786	-104.7949646
19.91667017	-103.0195964
15.66661189	-96.55419592
27.88257987	-101.5179169
19.26359476	-99.5965698
21.90573554	-105.4749273
26.43227047	-99.15335335
19.61751383	-100.2873294
21.2217131	-100.4952929
20.21450373	-98.73111927
25.48231537	-107.921968
23.84560673	-104.2410863
21.36157443	-102.8435781
18.85302955	-97.09905904
20.27915845	-98.1471878
17.51295925	-91.98496947
18.25656493	-92.09128775
20.45624892	-97.31584737
19.64650718	-102.0493008
25.44545892	-102.1811005
19.51107169	-101.6053796
22.29553249	-101.5777251
22.23891023	-102.0892216
23.69043513	-100.8872116
20.13972387	-98.67501758
20.20996413	-100.8786578
16.73506014	-92.64463064
20.91502683	-99.56758687
22.14870832	-102.4143758
19.70426098	-98.83354116
16.9202442	-96.36261898
20.60228654	-103.3166175
17.51182949	-97.48936912
20.76142571	-104.8535679
16.23743792	-97.29049691
19.40418826	-101.641056
21.80338016	-100.7335583
25.42408529	-100.15364
20.86861161	-105.4399718
21.16581057	-90.03289748
23.63715123	-103.6394559
19.22611894	-101.45853
20.38485864	-104.8241722
19.94434415	-103.7592304
17.46142543	-92.77861603
18.5565809	-99.60866655
20.53540304	-99.63824039
19.71716269	-99.22198747
18.99008191	-99.09572827
20.8777441	-103.8342092
20.52529699	-99.89524538
19.81714506	-97.80800281
21.46401467	-103.4621964
19.85010815	-97.49642475
18.95902794	-98.98309941
19.80708453	-100.1728833
19.61784941	-98.12060027
18.80581368	-99.66851115
22.99960239	-99.70918224
20.21098758	-87.47196164
19.63056663	-101.5789872
20.69204725	-88.19941628
19.1931717	-100.1309985
25.3423763	-102.8069578
19.7268356	-99.46037766
19.42201609	-97.00445523
20.27421735	-97.95997568
21.38581227	-98.99236324
20.20996421	-101.1292783
19.93566239	-97.95827157
19.91447963	-98.6729636
20.74080281	-99.38224262
20.14065522	-97.57674985
